,title,description,stars,price,price_discount,reviews,url
18,Apartamento en Santiago,Vista Bellas Artes (Departamento entero Santiago),4.88,41313,58897.0,16,https://www.airbnb.cl/rooms/787170823074364367?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
19,Alojamiento en Santiago,Vista despejada y desconexion total,4.74,131424,144831.0,130,https://www.airbnb.cl/rooms/42754934?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
20,Apartamento en Santiago,Nuevo y completamente amueblado Santa Lucía Hill 43TV 89,4.77,31097,39268.0,86,https://www.airbnb.cl/rooms/45068643?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
21,Apartamento en Estación Central,Departamento Equipado 316,4.62,24499,28572.0,79,https://www.airbnb.cl/rooms/53294847?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
22,Apartamento en Santiago,"Moderno, Diseño, Céntrico",4.9,33374,43511.0,144,https://www.airbnb.cl/rooms/37238946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
23,Apartamento en Santiago,"Acogedor, la mejor ubicación",4.8,34303,38263.0,10,https://www.airbnb.cl/rooms/823349695197479454?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
24,Apartamento en Pudahuel,Departamento SUR,4.9,44424,,59,https://www.airbnb.cl/rooms/785008010190693324?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
25,Apartamento en Santiago,Bellas Artes nuevas y completamente amuebladas 153,4.67,32732,39503.0,112,https://www.airbnb.cl/rooms/45001544?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
26,Cabaña en Pirque,Moderno  loft en San Juan de Pirque,4.98,88768,,60,https://www.airbnb.cl/rooms/573857582406896322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
27,Apartamento en Quilicura,departamento Quilicura cerca de aeropuerto,4.8,35040,,10,https://www.airbnb.cl/rooms/855177370899722824?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-10&check_out=2023-05-15&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
28,Apartamento en Santiago,23*Metro Matta/Estad.Nac/Mov.Arena/Hosp.Borja,4.8,28590,35148.0,62,https://www.airbnb.cl/rooms/26720158?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
29,Habitación en Ñuñoa,Linda habitación 1.5 plazas en Ñuñoa - Providencia,4.83,24528,,90,https://www.airbnb.cl/rooms/22863700?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
30,Habitación en Ñuñoa,"Vacaciones especiales ,como en casa",4.83,14016,,52,https://www.airbnb.cl/rooms/32985858?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
